4.55,0.13816581666469574,MP5-SD | Kitbash (Minimal Wear)
4.83,0.13896577060222626,MP5-SD | Kitbash (Minimal Wear)
4.83,0.1310228705406189,MP5-SD | Kitbash (Minimal Wear)
4.83,0.12684324383735657,MP5-SD | Kitbash (Minimal Wear)
4.84,0.1320657581090927,MP5-SD | Kitbash (Minimal Wear)
4.84,0.13171149790287018,MP5-SD | Kitbash (Minimal Wear)
4.84,0.1316261738538742,MP5-SD | Kitbash (Minimal Wear)
4.85,0.1480984389781952,MP5-SD | Kitbash (Minimal Wear)
4.85,0.13860033452510834,MP5-SD | Kitbash (Minimal Wear)
4.88,0.1351923793554306,MP5-SD | Kitbash (Minimal Wear)
4.88,0.13438771665096283,MP5-SD | Kitbash (Minimal Wear)
4.89,0.10631290823221207,MP5-SD | Kitbash (Minimal Wear)
4.89,0.14392970502376556,MP5-SD | Kitbash (Minimal Wear)
4.89,0.13040702044963837,MP5-SD | Kitbash (Minimal Wear)
4.89,0.1451597809791565,MP5-SD | Kitbash (Minimal Wear)
4.89,0.1303335279226303,MP5-SD | Kitbash (Minimal Wear)
4.89,0.1459316462278366,MP5-SD | Kitbash (Minimal Wear)
4.89,0.10844159126281738,MP5-SD | Kitbash (Minimal Wear)
4.9,0.1331290602684021,MP5-SD | Kitbash (Minimal Wear)
4.9,0.1456233561038971,MP5-SD | Kitbash (Minimal Wear)
4.9,0.14199037849903107,MP5-SD | Kitbash (Minimal Wear)
4.9,0.13786478340625763,MP5-SD | Kitbash (Minimal Wear)
4.9,0.13140568137168884,MP5-SD | Kitbash (Minimal Wear)
4.9,0.13358758389949799,MP5-SD | Kitbash (Minimal Wear)
4.9,0.13293947279453278,MP5-SD | Kitbash (Minimal Wear)
4.9,0.14013873040676117,MP5-SD | Kitbash (Minimal Wear)
4.9,0.13958488404750824,MP5-SD | Kitbash (Minimal Wear)
4.9,0.1420769989490509,MP5-SD | Kitbash (Minimal Wear)
4.9,0.13281376659870148,MP5-SD | Kitbash (Minimal Wear)
4.9,0.13135026395320892,MP5-SD | Kitbash (Minimal Wear)
4.9,0.1354362815618515,MP5-SD | Kitbash (Minimal Wear)
4.9,0.1269272416830063,MP5-SD | Kitbash (Minimal Wear)
4.9,0.1286238431930542,MP5-SD | Kitbash (Minimal Wear)
4.9,0.1065603643655777,MP5-SD | Kitbash (Minimal Wear)
4.91,0.13813339173793793,MP5-SD | Kitbash (Minimal Wear)
4.93,0.13518567383289337,MP5-SD | Kitbash (Minimal Wear)
4.94,0.10215246677398682,MP5-SD | Kitbash (Minimal Wear)
4.95,0.14590424299240112,MP5-SD | Kitbash (Minimal Wear)
4.95,0.10908317565917969,MP5-SD | Kitbash (Minimal Wear)
4.98,0.14712831377983093,MP5-SD | Kitbash (Minimal Wear)
4.99,0.10206717252731323,MP5-SD | Kitbash (Minimal Wear)
4.99,0.10442562401294708,MP5-SD | Kitbash (Minimal Wear)
4.99,0.10489781200885773,MP5-SD | Kitbash (Minimal Wear)
4.99,0.10585665702819824,MP5-SD | Kitbash (Minimal Wear)
4.99,0.10410787910223007,MP5-SD | Kitbash (Minimal Wear)
4.99,0.10468246042728424,MP5-SD | Kitbash (Minimal Wear)
4.99,0.10853736847639084,MP5-SD | Kitbash (Minimal Wear)
5,0.1483612060546875,MP5-SD | Kitbash (Minimal Wear)
5,0.1492852419614792,MP5-SD | Kitbash (Minimal Wear)
5,0.12261011451482773,MP5-SD | Kitbash (Minimal Wear)
5,0.13618957996368408,MP5-SD | Kitbash (Minimal Wear)
5,0.13312111794948578,MP5-SD | Kitbash (Minimal Wear)
5,0.12724487483501434,MP5-SD | Kitbash (Minimal Wear)
5,0.14905720949172974,MP5-SD | Kitbash (Minimal Wear)
5,0.13565103709697723,MP5-SD | Kitbash (Minimal Wear)
5,0.14928744733333588,MP5-SD | Kitbash (Minimal Wear)
5,0.14819101989269257,MP5-SD | Kitbash (Minimal Wear)
5,0.13607464730739594,MP5-SD | Kitbash (Minimal Wear)
5,0.12896278500556946,MP5-SD | Kitbash (Minimal Wear)
5,0.14337822794914246,MP5-SD | Kitbash (Minimal Wear)
5,0.1456294059753418,MP5-SD | Kitbash (Minimal Wear)
5,0.1328672468662262,MP5-SD | Kitbash (Minimal Wear)
5,0.13481701910495758,MP5-SD | Kitbash (Minimal Wear)
5,0.13189585506916046,MP5-SD | Kitbash (Minimal Wear)
5,0.14642412960529327,MP5-SD | Kitbash (Minimal Wear)
5,0.1457834541797638,MP5-SD | Kitbash (Minimal Wear)
5,0.13295142352581024,MP5-SD | Kitbash (Minimal Wear)
5,0.10842030495405197,MP5-SD | Kitbash (Minimal Wear)
5,0.10373099148273468,MP5-SD | Kitbash (Minimal Wear)
5,0.10398173332214355,MP5-SD | Kitbash (Minimal Wear)
5.01,0.11650893837213516,MP5-SD | Kitbash (Minimal Wear)
5.01,0.10955891758203506,MP5-SD | Kitbash (Minimal Wear)
5.02,0.10692893713712692,MP5-SD | Kitbash (Minimal Wear)
5.03,0.10603483021259308,MP5-SD | Kitbash (Minimal Wear)
5.05,0.10770066827535629,MP5-SD | Kitbash (Minimal Wear)
5.1,0.14720024168491364,MP5-SD | Kitbash (Minimal Wear)
5.1,0.1411258727312088,MP5-SD | Kitbash (Minimal Wear)
5.13,0.1291121542453766,MP5-SD | Kitbash (Minimal Wear)
5.13,0.1188710480928421,MP5-SD | Kitbash (Minimal Wear)
5.13,0.11447066068649292,MP5-SD | Kitbash (Minimal Wear)
5.13,0.13866496086120605,MP5-SD | Kitbash (Minimal Wear)
5.13,0.14837536215782166,MP5-SD | Kitbash (Minimal Wear)
5.13,0.11977572739124298,MP5-SD | Kitbash (Minimal Wear)
5.13,0.13085590302944183,MP5-SD | Kitbash (Minimal Wear)
5.13,0.13290956616401672,MP5-SD | Kitbash (Minimal Wear)
5.13,0.1147838607430458,MP5-SD | Kitbash (Minimal Wear)
5.13,0.12036509811878204,MP5-SD | Kitbash (Minimal Wear)
5.13,0.1472937911748886,MP5-SD | Kitbash (Minimal Wear)
5.13,0.13195188343524933,MP5-SD | Kitbash (Minimal Wear)
5.13,0.11763961613178253,MP5-SD | Kitbash (Minimal Wear)
5.13,0.11952563375234604,MP5-SD | Kitbash (Minimal Wear)
5.13,0.1300395429134369,MP5-SD | Kitbash (Minimal Wear)
5.13,0.11568856239318848,MP5-SD | Kitbash (Minimal Wear)
5.13,0.11975828558206558,MP5-SD | Kitbash (Minimal Wear)
5.13,0.14575935900211334,MP5-SD | Kitbash (Minimal Wear)
5.13,0.11182291805744171,MP5-SD | Kitbash (Minimal Wear)
5.13,0.13900691270828247,MP5-SD | Kitbash (Minimal Wear)
5.13,0.13017362356185913,MP5-SD | Kitbash (Minimal Wear)
5.13,0.11409087479114532,MP5-SD | Kitbash (Minimal Wear)
5.13,0.12857799232006073,MP5-SD | Kitbash (Minimal Wear)
5.13,0.13413886725902557,MP5-SD | Kitbash (Minimal Wear)
5.13,0.12813156843185425,MP5-SD | Kitbash (Minimal Wear)
5.13,0.14059464633464813,MP5-SD | Kitbash (Minimal Wear)
5.13,0.13083626329898834,MP5-SD | Kitbash (Minimal Wear)
5.13,0.14266464114189148,MP5-SD | Kitbash (Minimal Wear)
5.13,0.1387932151556015,MP5-SD | Kitbash (Minimal Wear)
5.13,0.13472364842891693,MP5-SD | Kitbash (Minimal Wear)
5.13,0.1148877739906311,MP5-SD | Kitbash (Minimal Wear)
5.13,0.13103850185871124,MP5-SD | Kitbash (Minimal Wear)
5.13,0.11650240421295166,MP5-SD | Kitbash (Minimal Wear)
5.13,0.11701657623052597,MP5-SD | Kitbash (Minimal Wear)
5.13,0.1377195119857788,MP5-SD | Kitbash (Minimal Wear)
5.13,0.11785774677991867,MP5-SD | Kitbash (Minimal Wear)
5.13,0.1428358405828476,MP5-SD | Kitbash (Minimal Wear)
5.13,0.14465469121932983,MP5-SD | Kitbash (Minimal Wear)
5.13,0.11966871470212936,MP5-SD | Kitbash (Minimal Wear)
5.13,0.11310692876577377,MP5-SD | Kitbash (Minimal Wear)
5.13,0.11854264885187149,MP5-SD | Kitbash (Minimal Wear)
5.13,0.10051395744085312,MP5-SD | Kitbash (Minimal Wear)
5.13,0.10394348949193954,MP5-SD | Kitbash (Minimal Wear)
5.13,0.10156743973493576,MP5-SD | Kitbash (Minimal Wear)
5.13,0.10956702381372452,MP5-SD | Kitbash (Minimal Wear)
5.13,0.10137780010700226,MP5-SD | Kitbash (Minimal Wear)
5.13,0.10403595119714737,MP5-SD | Kitbash (Minimal Wear)
5.13,0.10610947757959366,MP5-SD | Kitbash (Minimal Wear)
5.13,0.10964677482843399,MP5-SD | Kitbash (Minimal Wear)
5.13,0.13898630440235138,MP5-SD | Kitbash (Minimal Wear)
5.13,0.14458708465099335,MP5-SD | Kitbash (Minimal Wear)
5.13,0.10178815573453903,MP5-SD | Kitbash (Minimal Wear)
5.13,0.10390180349349976,MP5-SD | Kitbash (Minimal Wear)
5.13,0.1075645238161087,MP5-SD | Kitbash (Minimal Wear)
5.13,0.11178161948919296,MP5-SD | Kitbash (Minimal Wear)
5.13,0.1428268849849701,MP5-SD | Kitbash (Minimal Wear)
5.13,0.10704932361841202,MP5-SD | Kitbash (Minimal Wear)
5.13,0.12906359136104584,MP5-SD | Kitbash (Minimal Wear)
5.13,0.14278431236743927,MP5-SD | Kitbash (Minimal Wear)
5.13,0.11935191601514816,MP5-SD | Kitbash (Minimal Wear)
5.13,0.14427931606769562,MP5-SD | Kitbash (Minimal Wear)
5.13,0.10292233526706696,MP5-SD | Kitbash (Minimal Wear)
5.13,0.11654343456029892,MP5-SD | Kitbash (Minimal Wear)
5.13,0.13106238842010498,MP5-SD | Kitbash (Minimal Wear)
5.13,0.10085447877645493,MP5-SD | Kitbash (Minimal Wear)
5.13,0.11621005833148956,MP5-SD | Kitbash (Minimal Wear)
5.13,0.13245272636413574,MP5-SD | Kitbash (Minimal Wear)
5.13,0.10087919235229492,MP5-SD | Kitbash (Minimal Wear)
5.13,0.1166626363992691,MP5-SD | Kitbash (Minimal Wear)
5.13,0.1160598024725914,MP5-SD | Kitbash (Minimal Wear)
5.13,0.10664423555135727,MP5-SD | Kitbash (Minimal Wear)
5.13,0.1130320355296135,MP5-SD | Kitbash (Minimal Wear)
5.13,0.14489606022834778,MP5-SD | Kitbash (Minimal Wear)
5.13,0.12868140637874603,MP5-SD | Kitbash (Minimal Wear)
5.13,0.1150939017534256,MP5-SD | Kitbash (Minimal Wear)
5.13,0.11546919494867325,MP5-SD | Kitbash (Minimal Wear)
5.13,0.12927953898906708,MP5-SD | Kitbash (Minimal Wear)
5.13,0.14642511308193207,MP5-SD | Kitbash (Minimal Wear)
5.13,0.1294124573469162,MP5-SD | Kitbash (Minimal Wear)
5.14,0.10881324112415314,MP5-SD | Kitbash (Minimal Wear)
5.14,0.10269206017255783,MP5-SD | Kitbash (Minimal Wear)
5.14,0.10531381517648697,MP5-SD | Kitbash (Minimal Wear)
5.14,0.10351257771253586,MP5-SD | Kitbash (Minimal Wear)
5.14,0.10839920490980148,MP5-SD | Kitbash (Minimal Wear)
5.14,0.10524947941303253,MP5-SD | Kitbash (Minimal Wear)
5.14,0.10436147451400757,MP5-SD | Kitbash (Minimal Wear)
5.14,0.10352218151092529,MP5-SD | Kitbash (Minimal Wear)
5.14,0.10903046280145645,MP5-SD | Kitbash (Minimal Wear)
5.14,0.10570025444030762,MP5-SD | Kitbash (Minimal Wear)
5.14,0.10804986208677292,MP5-SD | Kitbash (Minimal Wear)
5.18,0.13428841531276703,MP5-SD | Kitbash (Minimal Wear)
5.18,0.13562266528606415,MP5-SD | Kitbash (Minimal Wear)
5.19,0.1425705999135971,MP5-SD | Kitbash (Minimal Wear)
5.19,0.14720144867897034,MP5-SD | Kitbash (Minimal Wear)
5.19,0.13703957200050354,MP5-SD | Kitbash (Minimal Wear)
5.19,0.10145565122365952,MP5-SD | Kitbash (Minimal Wear)
5.2,0.12813206017017365,MP5-SD | Kitbash (Minimal Wear)
5.2,0.1422685831785202,MP5-SD | Kitbash (Minimal Wear)
5.2,0.1371096819639206,MP5-SD | Kitbash (Minimal Wear)
5.2,0.11181187629699707,MP5-SD | Kitbash (Minimal Wear)
5.28,0.09713098406791687,MP5-SD | Kitbash (Minimal Wear)
5.28,0.09707432985305786,MP5-SD | Kitbash (Minimal Wear)
5.29,0.09928484261035919,MP5-SD | Kitbash (Minimal Wear)
5.3,0.1138492152094841,MP5-SD | Kitbash (Minimal Wear)
5.3,0.09959419816732407,MP5-SD | Kitbash (Minimal Wear)
5.34,0.10924205929040909,MP5-SD | Kitbash (Minimal Wear)
5.34,0.09875386953353882,MP5-SD | Kitbash (Minimal Wear)
5.35,0.10084978491067886,MP5-SD | Kitbash (Minimal Wear)
5.35,0.1040145754814148,MP5-SD | Kitbash (Minimal Wear)
5.35,0.10235279053449631,MP5-SD | Kitbash (Minimal Wear)
5.35,0.1098935529589653,MP5-SD | Kitbash (Minimal Wear)
5.38,0.14051906764507294,MP5-SD | Kitbash (Minimal Wear)
5.38,0.13659076392650604,MP5-SD | Kitbash (Minimal Wear)
5.38,0.11923356354236603,MP5-SD | Kitbash (Minimal Wear)
5.38,0.11815690994262695,MP5-SD | Kitbash (Minimal Wear)
5.38,0.129863440990448,MP5-SD | Kitbash (Minimal Wear)
5.38,0.14269250631332397,MP5-SD | Kitbash (Minimal Wear)
5.38,0.14563238620758057,MP5-SD | Kitbash (Minimal Wear)
5.38,0.13564392924308777,MP5-SD | Kitbash (Minimal Wear)
5.39,0.13419190049171448,MP5-SD | Kitbash (Minimal Wear)
5.39,0.11401629447937012,MP5-SD | Kitbash (Minimal Wear)
5.39,0.1311110556125641,MP5-SD | Kitbash (Minimal Wear)
5.39,0.11409880220890045,MP5-SD | Kitbash (Minimal Wear)
5.39,0.11498983949422836,MP5-SD | Kitbash (Minimal Wear)
5.4,0.13788160681724548,MP5-SD | Kitbash (Minimal Wear)
5.42,0.14390254020690918,MP5-SD | Kitbash (Minimal Wear)
5.44,0.10737593472003937,MP5-SD | Kitbash (Minimal Wear)
5.44,0.10463882982730865,MP5-SD | Kitbash (Minimal Wear)
5.48,0.10495962202548981,MP5-SD | Kitbash (Minimal Wear)
5.48,0.1061456948518753,MP5-SD | Kitbash (Minimal Wear)
5.48,0.10699585825204849,MP5-SD | Kitbash (Minimal Wear)
5.48,0.1079145073890686,MP5-SD | Kitbash (Minimal Wear)
5.48,0.10908575356006622,MP5-SD | Kitbash (Minimal Wear)
5.48,0.10914082825183868,MP5-SD | Kitbash (Minimal Wear)
5.48,0.10965025424957275,MP5-SD | Kitbash (Minimal Wear)
5.48,0.1021033450961113,MP5-SD | Kitbash (Minimal Wear)
5.48,0.10516541451215744,MP5-SD | Kitbash (Minimal Wear)
5.48,0.10538481920957565,MP5-SD | Kitbash (Minimal Wear)
5.48,0.10049959272146225,MP5-SD | Kitbash (Minimal Wear)
5.49,0.14050790667533875,MP5-SD | Kitbash (Minimal Wear)
5.49,0.10304106771945953,MP5-SD | Kitbash (Minimal Wear)
5.49,0.12938645482063293,MP5-SD | Kitbash (Minimal Wear)
5.49,0.13872557878494263,MP5-SD | Kitbash (Minimal Wear)
5.49,0.09758946299552917,MP5-SD | Kitbash (Minimal Wear)
5.49,0.09701298922300339,MP5-SD | Kitbash (Minimal Wear)
5.5,0.13987909257411957,MP5-SD | Kitbash (Minimal Wear)
5.5,0.1463131308555603,MP5-SD | Kitbash (Minimal Wear)
5.5,0.12686116993427277,MP5-SD | Kitbash (Minimal Wear)
5.5,0.10205478966236115,MP5-SD | Kitbash (Minimal Wear)
5.5,0.10542359203100204,MP5-SD | Kitbash (Minimal Wear)
5.5,0.13894519209861755,MP5-SD | Kitbash (Minimal Wear)
5.5,0.09941822290420532,MP5-SD | Kitbash (Minimal Wear)
5.5,0.14918218553066254,MP5-SD | Kitbash (Minimal Wear)
5.5,0.11241328716278076,MP5-SD | Kitbash (Minimal Wear)
5.5,0.10827620327472687,MP5-SD | Kitbash (Minimal Wear)
5.52,0.1419098675251007,MP5-SD | Kitbash (Minimal Wear)
5.55,0.09874822944402695,MP5-SD | Kitbash (Minimal Wear)
5.55,0.11116709560155869,MP5-SD | Kitbash (Minimal Wear)
5.57,0.14382682740688324,MP5-SD | Kitbash (Minimal Wear)
5.58,0.14988629519939423,MP5-SD | Kitbash (Minimal Wear)
5.6,0.13414742052555084,MP5-SD | Kitbash (Minimal Wear)
5.6,0.1324945092201233,MP5-SD | Kitbash (Minimal Wear)
5.6,0.14706169068813324,MP5-SD | Kitbash (Minimal Wear)
5.6,0.11383207142353058,MP5-SD | Kitbash (Minimal Wear)
5.6,0.13155391812324524,MP5-SD | Kitbash (Minimal Wear)
5.6,0.13230304419994354,MP5-SD | Kitbash (Minimal Wear)
5.6,0.09884558618068695,MP5-SD | Kitbash (Minimal Wear)
5.6,0.11757379025220871,MP5-SD | Kitbash (Minimal Wear)
5.6,0.11587809771299362,MP5-SD | Kitbash (Minimal Wear)
5.6,0.11518416553735733,MP5-SD | Kitbash (Minimal Wear)
5.6,0.11547906696796417,MP5-SD | Kitbash (Minimal Wear)
5.61,0.09997665137052536,MP5-SD | Kitbash (Minimal Wear)
5.67,0.1401968151330948,MP5-SD | Kitbash (Minimal Wear)
5.7,0.13277362287044525,MP5-SD | Kitbash (Minimal Wear)
5.7,0.10374653339385986,MP5-SD | Kitbash (Minimal Wear)
5.7,0.10491335391998291,MP5-SD | Kitbash (Minimal Wear)
5.7,0.10371937602758408,MP5-SD | Kitbash (Minimal Wear)
5.7,0.10007023811340332,MP5-SD | Kitbash (Minimal Wear)
5.7,0.12680993974208832,MP5-SD | Kitbash (Minimal Wear)
5.77,0.14837059378623962,MP5-SD | Kitbash (Minimal Wear)
5.77,0.14582394063472748,MP5-SD | Kitbash (Minimal Wear)
5.8,0.14657001197338104,MP5-SD | Kitbash (Minimal Wear)
5.8,0.1477433443069458,MP5-SD | Kitbash (Minimal Wear)
5.8,0.13323815166950226,MP5-SD | Kitbash (Minimal Wear)
5.8,0.12506996095180511,MP5-SD | Kitbash (Minimal Wear)
5.88,0.13081328570842743,MP5-SD | Kitbash (Minimal Wear)
5.88,0.10125503689050674,MP5-SD | Kitbash (Minimal Wear)
5.88,0.10679148882627487,MP5-SD | Kitbash (Minimal Wear)
5.88,0.09925638884305954,MP5-SD | Kitbash (Minimal Wear)
5.88,0.10368775576353073,MP5-SD | Kitbash (Minimal Wear)
5.88,0.10804281383752823,MP5-SD | Kitbash (Minimal Wear)
5.9,0.1493634432554245,MP5-SD | Kitbash (Minimal Wear)
5.9,0.11959794908761978,MP5-SD | Kitbash (Minimal Wear)
5.96,0.1361614465713501,MP5-SD | Kitbash (Minimal Wear)
5.96,0.12217473983764648,MP5-SD | Kitbash (Minimal Wear)
5.96,0.14228032529354095,MP5-SD | Kitbash (Minimal Wear)
5.96,0.1388956606388092,MP5-SD | Kitbash (Minimal Wear)
5.96,0.11699549108743668,MP5-SD | Kitbash (Minimal Wear)
5.96,0.12461407482624054,MP5-SD | Kitbash (Minimal Wear)
5.98,0.09955141693353653,MP5-SD | Kitbash (Minimal Wear)
5.98,0.0973743200302124,MP5-SD | Kitbash (Minimal Wear)
5.99,0.09315290302038193,MP5-SD | Kitbash (Minimal Wear)
6,0.11444661766290665,MP5-SD | Kitbash (Minimal Wear)
6,0.14756381511688232,MP5-SD | Kitbash (Minimal Wear)
6,0.1459440439939499,MP5-SD | Kitbash (Minimal Wear)
6,0.1497887820005417,MP5-SD | Kitbash (Minimal Wear)
6,0.14835795760154724,MP5-SD | Kitbash (Minimal Wear)
6,0.11630260199308395,MP5-SD | Kitbash (Minimal Wear)
6,0.1168433427810669,MP5-SD | Kitbash (Minimal Wear)
6,0.12367255985736847,MP5-SD | Kitbash (Minimal Wear)
6,0.14946560561656952,MP5-SD | Kitbash (Minimal Wear)
6,0.13415777683258057,MP5-SD | Kitbash (Minimal Wear)
6,0.13032522797584534,MP5-SD | Kitbash (Minimal Wear)
6,0.1490170806646347,MP5-SD | Kitbash (Minimal Wear)
6,0.11653035134077072,MP5-SD | Kitbash (Minimal Wear)
6,0.10472346842288971,MP5-SD | Kitbash (Minimal Wear)
6,0.13835102319717407,MP5-SD | Kitbash (Minimal Wear)
6,0.13796217739582062,MP5-SD | Kitbash (Minimal Wear)
6,0.14176248013973236,MP5-SD | Kitbash (Minimal Wear)
6,0.11312204599380493,MP5-SD | Kitbash (Minimal Wear)
6,0.1492743194103241,MP5-SD | Kitbash (Minimal Wear)
6,0.09965313225984573,MP5-SD | Kitbash (Minimal Wear)
6,0.09670943766832352,MP5-SD | Kitbash (Minimal Wear)
6,0.09539636224508286,MP5-SD | Kitbash (Minimal Wear)
6,0.09482132643461227,MP5-SD | Kitbash (Minimal Wear)
6,0.13348619639873505,MP5-SD | Kitbash (Minimal Wear)
6.08,0.09570672363042831,MP5-SD | Kitbash (Minimal Wear)
6.08,0.09576617926359177,MP5-SD | Kitbash (Minimal Wear)
6.08,0.09736029803752899,MP5-SD | Kitbash (Minimal Wear)
6.08,0.09930387884378433,MP5-SD | Kitbash (Minimal Wear)
6.08,0.09868965297937393,MP5-SD | Kitbash (Minimal Wear)
6.09,0.09527669101953506,MP5-SD | Kitbash (Minimal Wear)
6.09,0.09424066543579102,MP5-SD | Kitbash (Minimal Wear)
6.09,0.09938180446624756,MP5-SD | Kitbash (Minimal Wear)
6.09,0.09689129889011383,MP5-SD | Kitbash (Minimal Wear)
6.1,0.12992362678050995,MP5-SD | Kitbash (Minimal Wear)
6.1,0.13083207607269287,MP5-SD | Kitbash (Minimal Wear)
6.13,0.14561285078525543,MP5-SD | Kitbash (Minimal Wear)
6.15,0.09670461714267731,MP5-SD | Kitbash (Minimal Wear)
6.15,0.096902035176754,MP5-SD | Kitbash (Minimal Wear)
6.15,0.09648585319519043,MP5-SD | Kitbash (Minimal Wear)
6.15,0.09662652015686035,MP5-SD | Kitbash (Minimal Wear)
6.17,0.09525924175977707,MP5-SD | Kitbash (Minimal Wear)
6.2,0.11025650799274445,MP5-SD | Kitbash (Minimal Wear)
6.2,0.11650719493627548,MP5-SD | Kitbash (Minimal Wear)
6.2,0.09755413979291916,MP5-SD | Kitbash (Minimal Wear)
6.23,0.08871325850486755,MP5-SD | Kitbash (Minimal Wear)
6.23,0.08589210361242294,MP5-SD | Kitbash (Minimal Wear)
6.24,0.08430421352386475,MP5-SD | Kitbash (Minimal Wear)
6.24,0.08208288997411728,MP5-SD | Kitbash (Minimal Wear)
6.25,0.08705839514732361,MP5-SD | Kitbash (Minimal Wear)
6.26,0.08885572105646133,MP5-SD | Kitbash (Minimal Wear)
6.26,0.08538488298654556,MP5-SD | Kitbash (Minimal Wear)
6.26,0.0857773944735527,MP5-SD | Kitbash (Minimal Wear)
6.27,0.09423535317182541,MP5-SD | Kitbash (Minimal Wear)
6.27,0.1490681767463684,MP5-SD | Kitbash (Minimal Wear)
6.27,0.14592450857162476,MP5-SD | Kitbash (Minimal Wear)
6.27,0.13969741761684418,MP5-SD | Kitbash (Minimal Wear)
6.27,0.13872134685516357,MP5-SD | Kitbash (Minimal Wear)
6.27,0.13212396204471588,MP5-SD | Kitbash (Minimal Wear)
6.27,0.08353224396705627,MP5-SD | Kitbash (Minimal Wear)
6.27,0.08932369947433472,MP5-SD | Kitbash (Minimal Wear)
6.28,0.08637162297964096,MP5-SD | Kitbash (Minimal Wear)
6.29,0.1075044497847557,MP5-SD | Kitbash (Minimal Wear)
6.3,0.11589320003986359,MP5-SD | Kitbash (Minimal Wear)
6.3,0.14315178990364075,MP5-SD | Kitbash (Minimal Wear)
6.3,0.11566440016031265,MP5-SD | Kitbash (Minimal Wear)
6.3,0.11640927940607071,MP5-SD | Kitbash (Minimal Wear)
6.35,0.10570668429136276,MP5-SD | Kitbash (Minimal Wear)
6.35,0.10210007429122925,MP5-SD | Kitbash (Minimal Wear)
6.35,0.10506855696439743,MP5-SD | Kitbash (Minimal Wear)
6.35,0.10119049996137619,MP5-SD | Kitbash (Minimal Wear)
